serial_no,frame_no,timestamp,object_class,class_id,track_id,confidence,x1,y1,x2,y2
154,192,6.4,oven,69,32,0.6882,513.49,781.26,963.41,1077.13
155,192,6.4,oven,69,38,0.4644,749.01,973.27,958.14,1364.66
156,193,6.433,oven,69,32,0.6496,533.74,789.36,974.66,1079.84
157,194,6.467,oven,69,32,0.7715,533.22,776.5,998.89,1085.78
158,195,6.5,oven,69,32,0.7728,538.5,766.12,1020.33,1089.11
159,196,6.533,oven,69,32,0.7451,548.84,763.06,1033.12,1089.81
160,197,6.567,oven,69,32,0.7099,564.86,773.87,1036.35,1092.03
161,198,6.6,oven,69,32,0.673,561.84,772.93,1044.48,1099.5
162,198,6.6,oven,69,38,0.3761,789.97,959.79,1006.03,1358.11
163,199,6.633,oven,69,32,0.6585,552.71,774.12,1045.52,1108.38
164,200,6.667,oven,69,32,0.6186,530.55,772.61,1048.34,1126.54
165,201,6.7,oven,69,32,0.6014,496.36,770.63,1045.17,1150.79
166,206,6.867,oven,69,41,0.5669,22.77,874.84,867.58,1403.04
167,217,7.233,cup,41,48,0.4181,825.35,937.41,899.42,1026.37
168,219,7.3,microwave,68,49,0.4059,502.51,874.2,769.05,1068.63
169,221,7.367,microwave,68,49,0.4718,467.77,895.17,752.59,1103.03
170,224,7.467,microwave,68,49,0.5775,416.7,939.45,738.75,1174.82
171,225,7.5,bowl,45,56,0.5819,1007.69,871.85,1186.35,985.13
172,226,7.533,person,0,41,0.4933,0.0,952.28,725.36,1407.99
173,227,7.567,bowl,45,56,0.3988,1017.99,880.08,1211.39,1002.96
174,229,7.633,bowl,45,56,0.3859,1034.39,892.59,1239.4,1023.37
175,230,7.667,person,0,41,0.5368,0.0,860.12,812.33,1406.72
176,231,7.7,person,0,41,0.7912,0.0,819.56,809.45,1407.09
177,231,7.7,bowl,45,56,0.5434,1058.97,905.87,1270.12,1040.92
178,232,7.733,person,0,41,0.5811,0.0,811.79,804.55,1407.41
179,232,7.733,bowl,45,56,0.503,1075.01,915.75,1282.92,1048.72
180,233,7.767,person,0,41,0.681,0.0,807.65,786.41,1406.76
181,233,7.767,bowl,45,56,0.4858,1087.4,923.45,1304.82,1062.9
182,234,7.8,person,0,41,0.5917,0.0,803.37,774.92,1407.02
183,234,7.8,bowl,45,56,0.5459,1103.42,933.26,1323.45,1074.96
184,235,7.833,person,0,41,0.774,0.0,807.0,761.84,1407.32
185,235,7.833,bowl,45,56,0.7059,1122.0,942.21,1344.3,1086.32
186,236,7.867,person,0,41,0.6342,0.0,810.95,752.95,1406.97
187,236,7.867,bowl,45,56,0.3525,1138.92,949.0,1359.86,1094.01
188,237,7.9,person,0,41,0.6711,0.0,809.99,747.84,1406.36
189,237,7.9,cup,41,63,0.6587,778.31,1277.85,868.69,1407.45
190,238,7.933,person,0,41,0.6515,0.0,809.39,744.51,1407.14
191,238,7.933,cup,41,63,0.7052,780.64,1288.35,864.28,1407.72
192,239,7.967,person,0,41,0.546,0.0,810.69,740.57,1407.76
193,239,7.967,cup,41,63,0.6519,778.77,1298.89,855.66,1407.53
194,240,8.0,person,0,41,0.8059,0.0,813.5,732.96,1407.37
195,240,8.0,cup,41,63,0.5268,775.19,1309.54,846.02,1407.83
196,241,8.033,person,0,41,0.7983,0.0,819.17,727.24,1407.94
197,241,8.033,cup,41,63,0.597,775.65,1323.12,838.42,1407.51
198,242,8.067,person,0,41,0.7608,0.0,826.93,721.14,1407.65
199,242,8.067,cup,41,63,0.4069,778.05,1335.41,834.18,1407.46
200,243,8.1,person,0,41,0.5626,0.0,831.39,723.12,1407.5
201,244,8.133,person,0,41,0.476,6.51,843.44,724.35,1406.81
202,245,8.167,person,0,41,0.3968,31.07,858.1,734.44,1406.01
203,246,8.2,person,0,41,0.6112,46.19,876.36,739.93,1407.38
204,248,8.267,person,0,41,0.6274,96.89,913.47,768.69,1408.0
205,252,8.4,person,0,67,0.5926,636.34,1010.33,1117.93,1407.88
206,259,8.633,bottle,39,70,0.407,1071.62,746.82,1145.83,866.62
207,260,8.667,bottle,39,70,0.3519,1064.77,742.55,1137.58,860.15
208,261,8.7,bottle,39,70,0.4339,1054.45,734.93,1128.59,854.83
209,263,8.767,bottle,39,70,0.3799,1029.49,726.0,1104.44,847.57
210,264,8.8,bottle,39,70,0.4196,1018.05,722.82,1092.87,844.28
211,265,8.833,bottle,39,70,0.3935,1008.9,721.37,1082.84,841.6
212,266,8.867,bottle,39,70,0.3869,1001.16,720.9,1075.45,841.88
213,267,8.9,cup,41,76,0.3691,833.03,811.37,941.33,958.27
214,267,8.9,person,0,41,0.6088,75.3,985.2,693.86,1408.0
215,268,8.933,person,0,77,0.43,896.27,816.14,1408.0,1406.76
216,268,8.933,person,0,41,0.8333,50.16,919.05,784.85,1408.0
217,268,8.933,bottle,39,70,0.4249,985.19,719.0,1059.85,840.86
218,269,8.967,person,0,41,0.5028,13.46,872.59,811.98,1407.03
219,269,8.967,bottle,39,70,0.4227,976.83,718.49,1051.87,841.21
220,270,9.0,person,0,41,0.5288,0.0,831.26,822.55,1407.09
221,270,9.0,bottle,39,70,0.4046,969.79,719.27,1043.82,840.68
222,271,9.033,person,0,41,0.3768,0.0,804.36,818.4,1406.36
223,271,9.033,bottle,39,70,0.4974,963.06,720.42,1037.62,843.46
224,271,9.033,cup,41,76,0.4515,801.89,818.95,912.06,968.4
225,272,9.067,person,0,41,0.4988,0.0,786.56,811.54,1406.75
226,272,9.067,bottle,39,70,0.4481,957.51,721.79,1031.83,844.99
227,272,9.067,person,0,77,0.352,873.89,780.11,1408.0,1407.41
228,273,9.1,person,0,41,0.6128,0.0,775.39,804.22,1406.85
229,273,9.1,bottle,39,70,0.4436,952.72,721.99,1027.0,845.76
230,273,9.1,person,0,77,0.4765,868.79,768.46,1408.0,1407.42
231,273,9.1,cup,41,76,0.3698,788.66,823.93,901.4,976.85
232,274,9.133,dog,16,41,0.4272,0.0,772.33,795.96,1406.63
233,274,9.133,bottle,39,70,0.4381,949.03,723.91,1022.94,847.64
234,274,9.133,person,0,77,0.4979,869.99,770.16,1408.0,1407.25
235,274,9.133,refrigerator,72,80,0.3821,0.0,22.77,1408.0,1389.6
236,275,9.167,dog,16,41,0.5107,0.0,770.44,795.69,1407.51
237,275,9.167,bottle,39,70,0.3803,945.77,725.92,1019.39,850.04
238,275,9.167,person,0,77,0.4588,869.45,767.04,1408.0,1406.95
239,276,9.2,dog,16,41,0.4201,0.0,770.69,795.45,1406.54
240,276,9.2,bottle,39,70,0.3961,943.53,726.15,1017.85,852.15
241,276,9.2,person,0,77,0.3887,868.51,767.46,1408.0,1406.91
242,276,9.2,refrigerator,72,80,0.5885,0.0,18.7,1408.0,1388.74
243,277,9.233,dog,16,41,0.6953,0.0,773.25,798.34,1407.14
244,277,9.233,person,0,77,0.5006,866.75,766.76,1408.0,1406.89
245,277,9.233,refrigerator,72,80,0.3798,0.0,17.59,1391.85,1365.98
246,278,9.267,dog,16,41,0.5594,0.0,778.9,794.79,1406.43
247,278,9.267,person,0,77,0.607,866.94,763.54,1408.0,1407.12
248,278,9.267,refrigerator,72,80,0.4085,0.0,14.61,1384.03,1359.81
249,278,9.267,bottle,39,70,0.3921,939.03,727.55,1012.82,853.39
250,279,9.3,dog,16,41,0.5952,0.0,783.89,791.69,1407.35
251,279,9.3,person,0,77,0.6321,865.82,762.1,1408.0,1407.16
252,279,9.3,refrigerator,72,80,0.3943,0.0,16.87,1373.1,1333.99
253,279,9.3,bottle,39,70,0.3848,938.75,727.79,1011.81,853.1
254,280,9.333,dog,16,41,0.4361,0.0,791.97,785.0,1407.03
255,280,9.333,person,0,77,0.6016,862.75,759.45,1408.0,1407.06
256,280,9.333,bottle,39,70,0.3884,937.72,728.09,1011.21,854.94
257,280,9.333,cup,41,76,0.3591,765.69,836.57,886.96,1001.95
258,281,9.367,dog,16,41,0.5972,0.0,800.11,781.78,1406.3
259,281,9.367,person,0,77,0.6429,860.27,756.85,1408.0,1407.0
260,281,9.367,bottle,39,70,0.38,937.19,728.64,1010.42,855.59
261,282,9.4,person,0,41,0.5281,0.0,811.53,761.01,1406.58
262,282,9.4,person,0,77,0.6219,863.23,768.92,1405.25,1406.79
263,282,9.4,dog,16,84,0.3944,1.7,813.56,767.37,1405.44
264,283,9.433,person,0,77,0.659,858.97,762.85,1406.11,1406.72
265,283,9.433,bottle,39,70,0.3565,927.89,729.89,1001.11,856.53
266,284,9.467,person,0,77,0.4997,858.5,752.78,1408.0,1406.78
267,284,9.467,bottle,39,70,0.5021,920.15,730.24,993.69,857.66
268,284,9.467,person,0,41,0.4801,0.0,811.25,761.6,1406.57
269,285,9.5,person,0,77,0.442,857.38,742.76,1408.0,1406.63
270,285,9.5,bottle,39,70,0.4762,912.91,732.02,985.46,857.61
271,285,9.5,bottle,39,85,0.3625,799.82,333.75,894.48,530.61
272,285,9.5,person,0,41,0.5437,0.0,815.32,745.78,1406.46
273,286,9.533,person,0,77,0.4533,855.2,739.29,1408.0,1407.03
274,286,9.533,bottle,39,70,0.4616,905.1,731.23,977.96,857.5
275,286,9.533,person,0,41,0.625,0.0,815.56,748.32,1405.99
276,287,9.567,person,0,77,0.3873,835.35,735.0,1402.45,1406.55
277,287,9.567,bottle,39,70,0.5337,899.01,730.6,972.02,856.85
278,287,9.567,person,0,41,0.6678,0.0,814.25,748.4,1405.71
279,288,9.6,bottle,39,70,0.3544,893.25,730.33,966.04,855.96
280,288,9.6,person,0,41,0.5129,0.0,817.04,739.64,1405.6
281,289,9.633,bottle,39,70,0.4231,889.04,729.42,962.45,855.91
282,289,9.633,person,0,41,0.4461,0.0,826.24,721.24,1405.39
283,289,9.633,person,0,77,0.3662,840.45,732.87,1408.0,1406.5
284,290,9.667,bottle,39,70,0.5296,884.61,728.38,958.29,856.06
285,290,9.667,person,0,41,0.3741,0.0,828.58,709.48,1405.35
286,290,9.667,person,0,77,0.437,842.78,734.92,1408.0,1406.42
287,291,9.7,bottle,39,70,0.5717,881.6,725.96,955.65,854.79
288,291,9.7,person,0,41,0.5662,0.0,820.69,723.17,1405.53
289,291,9.7,person,0,77,0.4005,820.68,735.62,1390.85,1405.75
290,292,9.733,bottle,39,70,0.5519,880.43,722.68,955.11,853.34
291,292,9.733,dog,16,41,0.5073,0.0,815.75,729.43,1406.74
292,292,9.733,person,0,77,0.4316,832.4,736.59,1401.63,1406.23
293,293,9.767,bottle,39,70,0.5949,879.38,720.15,954.08,851.38
294,293,9.767,person,0,41,0.6308,0.0,815.55,728.79,1405.71
295,293,9.767,person,0,77,0.4266,837.11,735.51,1406.72,1406.58
296,293,9.767,dog,16,86,0.4039,0.0,812.46,726.35,1406.72
297,294,9.8,bottle,39,70,0.5504,878.7,719.0,953.15,850.09
298,294,9.8,person,0,41,0.3544,0.0,810.49,729.76,1405.67
299,294,9.8,person,0,77,0.5814,839.44,735.93,1408.0,1406.76
300,294,9.8,dog,16,86,0.6582,0.0,809.31,724.65,1406.92
301,295,9.833,bottle,39,70,0.4452,875.27,719.23,948.98,848.6
302,295,9.833,dog,16,41,0.4868,0.0,807.77,729.0,1406.08
303,295,9.833,person,0,77,0.4487,851.47,739.63,1408.0,1406.22
304,295,9.833,person,0,86,0.5685,0.0,805.36,725.38,1406.31
305,296,9.867,bottle,39,70,0.3928,867.74,720.52,941.97,850.79
306,296,9.867,dog,16,41,0.5357,0.0,810.53,723.73,1406.17
307,296,9.867,person,0,77,0.3643,867.49,747.51,1408.0,1406.08
308,296,9.867,person,0,86,0.394,0.0,811.53,720.19,1406.39
309,297,9.9,bottle,39,70,0.3679,859.73,725.2,932.52,852.7
310,298,9.933,bottle,39,70,0.4755,855.24,728.76,928.02,855.83
311,298,9.933,person,0,41,0.6571,0.0,820.84,711.76,1406.65
312,298,9.933,person,0,77,0.3791,883.29,766.25,1408.0,1406.01
